ano;populacao em milhoes
-10000;1
-8000;5
-6500;5
-5000;5
-4000;7
-3000;14
-2000;27
-1000;50
-500;100
-400;162
-200;150
1;188
100;195
200;202
300;205
400;209
500;210
600;213
700;226
800;240
900;269
1000;295
1100;353
1200;393
1300;392
1400;390
1500;461
1600;554
1700;603
1750;814
1800;989
1850;1,263
1900;1,654
1910;1,777
1920;1,912
1930;2,092
1940;2,307
1950;2,557,628,654
1951;2,594,939,877
1952;2,636,772,306
1953;2,682,053,389
1954;2,730,228,104
1955;2,782,098,943
1956;2,835,299,673
1957;2,891,349,717
1958;2,948,137,248
1959;3,000,716,593
1960;3,043,001,508
1961;3,083,966,929
1962;3,140,093,217
1963;3,209,827,882
1964;3,281,201,306
1965;3,350,425,793
1966;3,420,677,923
1967;3,490,333,715
1968;3,562,313,822
1969;3,637,159,050
1970;3,712,697,742
1971;3,790,326,948
1972;3,866,568,653
1973;3,942,096,442
1974;4,016,608,813
1975;4,089,083,233
1976;4,160,185,010
1977;4,232,084,578
1978;4,304,105,753
1979;4,379,013,942
1980;4,451,362,735
1981;4,534,410,125
1982;4,614,566,561
1983;4,695,736,743
1984;4,774,569,391
1985;4,856,462,699
1986;4,940,571,232
1987;5,027,200,492
1988;5,114,557,167
1989;5,201,440,110
1990;5,288,955,934
1991;5,371,585,922
1992;5,456,136,278
1993;5,538,268,316
1994;5,618,682,132
1995;5,699,202,985
1996;5,779,440,593
1997;5,857,972,543
1998;5,935,213,248
1999;6,012,074,922
2000;6,088,571,383
2001;6,165,219,247
2002;6,242,016,348
2003;6,318,590,956
2004;6,395,699,509
2005;6,473,044,732
2006;6,551,263,534
2007;6,629,913,759
2008;6,709,049,780
2009;6,788,214,394
2010;6,866,332,358
2011;6,944,055,583
2012;7,022,349,283
2013;7,101,027,895
2014;7,178,722,893
2015;7,256,490,011
2016;7,334,771,614
2017;7,412,778,971
2018;7,490,427,640
2019;7,567,402,977
2020;7,643,402,123
2021;7,718,256,830
2022;7,792,021,317
2023;7,864,725,370
2024;7,936,271,554
2025;8,006,580,553
2026;8,075,716,000
2027;8,143,729,466
2028;8,210,559,895
2029;8,276,190,519
2030;8,340,606,590
2031;8,403,880,343
2032;8,466,094,022
2033;8,527,246,205
2034;8,587,325,154
2035;8,646,304,704
2036;8,704,239,274
2037;8,761,189,197
2038;8,817,138,785
2039;8,872,066,537
2040;8,925,949,679
2041;8,978,822,945
2042;9,030,723,366
2043;9,081,617,002
2044;9,131,462,326
2045;9,180,225,214
2046;9,227,935,007
2047;9,274,616,811
2048;9,320,232,984
2049;9,364,750,182
2050;9,408,141,302
